case_id,domain,seed,location_index,x_mm,z_mm,error_mm,pointwise_radius_mm,das_radius_mm,pointwise_standardized_abs_error,das_standardized_abs_error,pointwise_covered,das_covered
noise_density-seed-410000,noise_density,410000,481,1795.8577518953268,1649.7584978058055,-1.4297187093728407,4.203991336643569,7.0707775675633044,0.34008602656025355,0.20220105861222037,True,True
noise_density-seed-410000,noise_density,410000,482,1852.0441079066702,1651.369918327776,-0.7316862966417355,3.696017042152354,6.216405386755025,0.19796615878579452,0.11770247452019486,True,True
noise_density-seed-410000,noise_density,410000,483,1915.2524123113371,1641.8664716967114,-0.004596369713476767,4.225625285745696,7.107164141597317,0.001087737175603739,0.0006467234500150076,True,True
noise_density-seed-410000,noise_density,410000,484,1960.8889809146658,1640.1523951835723,0.34705311972790454,3.791024487968682,6.376200320387291,0.09154599787717635,0.054429456775100894,True,True
noise_density-seed-410000,noise_density,410000,487,1083.8235294117646,1800.0,-3.843556590799133,5.28801370260238,8.894016583578509,0.7268431602035393,0.4321508234980913,True,True
noise_density-seed-410000,noise_density,410000,488,1142.6470588235295,1800.0,-3.352598661119027,5.060515220284625,8.511382311379611,0.6625014480107546,0.39389590767608273,True,True
noise_density-seed-410000,noise_density,410000,489,1201.4705882352941,1800.0,-2.8770837337760855,4.735224872735117,7.964269934541489,0.6075917852058104,0.36124889756661943,True,True
noise_density-seed-410000,noise_density,410000,490,1260.2941176470588,1800.0,-2.422742678162926,4.517417687106525,7.597935649127305,0.5363114163823824,0.3188685440421177,True,True
noise_density-seed-410000,noise_density,410000,491,1319.1176470588234,1800.0,-1.995238453647707,4.362205304664467,7.336880821917417,0.45739214784646115,0.27194641729593644,True,True
noise_density-seed-410000,noise_density,410000,492,1377.9411764705883,1800.0,-1.602257676245482,4.34235652639898,7.3034967626117195,0.3689834463164633,0.2193822669228537,True,True
noise_density-seed-410000,noise_density,410000,493,1436.764705882353,1800.0,-1.2604487220514162,4.390285304067278,7.384109137576387,0.2870995014569333,0.1706974664874903,True,True
noise_density-seed-410000,noise_density,410000,494,1495.5882352941176,1800.0,-1.0070046594808377,4.093396945945554,6.8847666378951695,0.24600708721353304,0.14626561980155975,True,True
noise_density-seed-410000,noise_density,410000,495,1554.4117647058824,1800.0,-0.8973532041887005,3.745086696137762,6.298936624539431,0.2396081257916203,0.14246106250581836,True,True
noise_density-seed-410000,noise_density,410000,496,1613.235294117647,1800.0,-0.9540760511644338,3.8852346267584275,6.534654247298424,0.24556459076975984,0.14600252975264463,True,True
noise_density-seed-410000,noise_density,410000,497,1672.0588235294117,1800.0,-1.0847585380130598,3.5604153765861914,5.988334218612479,0.30467190574071484,0.18114528989405715,True,True
